"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"UKM00003772","HEATHROW, UK","1994-03-15","0.12",,"50","56",
"UKM00003772","HEATHROW, UK","1994-03-16",,,"43","50","38"
"UKM00003772","HEATHROW, UK","1994-03-17","0.04",,"42","50","35"
"UKM00003772","HEATHROW, UK","1994-03-18","0.12",,"47","53","38"
"UKM00003772","HEATHROW, UK","1994-03-19","0.16",,"46","51",
"UKM00003772","HEATHROW, UK","1994-03-20","0.00",,"41","50","31"
"UKM00003772","HEATHROW, UK","1994-03-21",,,"45","52","39"
"UKM00003772","HEATHROW, UK","1994-03-22",,,"48",,"41"
"UKM00003772","HEATHROW, UK","1994-03-23","0.00",,"54","59","50"
"UKM00003772","HEATHROW, UK","1994-03-24",,,"52","57","46"
"UKM00003772","HEATHROW, UK","1994-03-25","0.08",,"51","56",
"UKM00003772","HEATHROW, UK","1994-03-26",,,"44","52",
"UKM00003772","HEATHROW, UK","1994-03-27","0.00",,"44","52","35"
"UKM00003772","HEATHROW, UK","1994-03-28","0.02",,"51","55","46"
"UKM00003772","HEATHROW, UK","1994-03-29",,,"54","61",
"UKM00003772","HEATHROW, UK","1994-03-30",,,"54","63","48"
"UKM00003772","HEATHROW, UK","1994-03-31","0.28",,"47","53","43"
"UKM00003772","HEATHROW, UK","1994-04-01","0.32",,"47","53",
"UKM00003772","HEATHROW, UK","1994-04-02","0.04",,"41","49","36"
"UKM00003772","HEATHROW, UK","1994-04-03","0.04",,"42","48","31"
"UKM00003772","HEATHROW, UK","1994-04-04","0.35",,"46","52",
"UKM00003772","HEATHROW, UK","1994-04-05","0.00",,"43","52","37"
"UKM00003772","HEATHROW, UK","1994-04-06",,,"45","54","36"
"UKM00003772","HEATHROW, UK","1994-04-07",,,"44","52",
"UKM00003772","HEATHROW, UK","1994-04-08","0.28",,"44","52",
"UKM00003772","HEATHROW, UK","1994-04-09","0.24",,"40","48","35"
"UKM00003772","HEATHROW, UK","1994-04-10","0.12",,"43","51","35"
"UKM00003772","HEATHROW, UK","1994-04-11",,,"47",,"37"
"UKM00003772","HEATHROW, UK","1994-04-12",,,"44","55","35"
"UKM00003772","HEATHROW, UK","1994-04-13","0.16",,"45","52","40"
"UKM00003772","HEATHROW, UK","1994-04-14",,,"41","47","38"
"UKM00003772","HEATHROW, UK","1994-04-15","0.08",,"42","46","38"
"UKM00003772","HEATHROW, UK","1994-04-16",,,"46","54","41"
"UKM00003772","HEATHROW, UK","1994-04-17","0.00",,"44","50","38"
"UKM00003772","HEATHROW, UK","1994-04-18",,,"43","49","38"
"UKM00003772","HEATHROW, UK","1994-04-19","0.00",,"47","56","38"
"UKM00003772","HEATHROW, UK","1994-04-20","0.00",,"48","51",
"UKM00003772","HEATHROW, UK","1994-04-21",,,"49","58","39"
"UKM00003772","HEATHROW, UK","1994-04-22","0.00",,"53","62","43"
"UKM00003772","HEATHROW, UK","1994-04-23","0.20",,"55","63",
"UKM00003772","HEATHROW, UK","1994-04-24",,,"53","61","47"
"UKM00003772","HEATHROW, UK","1994-04-25",,,"50","58","38"
"UKM00003772","HEATHROW, UK","1994-04-26",,,"57","66","51"
"UKM00003772","HEATHROW, UK","1994-04-27","0.02",,"58","66","51"
"UKM00003772","HEATHROW, UK","1994-04-28",,,"60","69","54"
"UKM00003772","HEATHROW, UK","1994-04-29","0.00",,"61","74","48"
"UKM00003772","HEATHROW, UK","1994-04-30","0.00",,"59","68",
"UKM00003772","HEATHROW, UK","1994-05-01","0.00",,"53","63","45"
"UKM00003772","HEATHROW, UK","1994-05-02","0.00",,"51","63","44"
"UKM00003772","HEATHROW, UK","1994-05-03","0.00",,"56","68","44"
"UKM00003772","HEATHROW, UK","1994-05-04",,,"51","58",
"UKM00003772","HEATHROW, UK","1994-05-05","0.08",,"50","56","43"
"UKM00003772","HEATHROW, UK","1994-05-06","0.12",,"55","61","51"
"UKM00003772","HEATHROW, UK","1994-05-07","0.16",,"54","57",
"UKM00003772","HEATHROW, UK","1994-05-08","0.12",,"52","62","44"
"UKM00003772","HEATHROW, UK","1994-05-09","0.00",,"52","63","44"
"UKM00003772","HEATHROW, UK","1994-05-10","0.00",,"55","65","44"
"UKM00003772","HEATHROW, UK","1994-05-11","0.00",,"58","65","50"
"UKM00003772","HEATHROW, UK","1994-05-12",,,"58","64",
"UKM00003772","HEATHROW, UK","1994-05-13","0.00",,"59","67","50"
"UKM00003772","HEATHROW, UK","1994-05-14",,,"58","68","53"
"UKM00003772","HEATHROW, UK","1994-05-15",,,"59","68","50"
"UKM00003772","HEATHROW, UK","1994-05-16",,,"54","57",
"UKM00003772","HEATHROW, UK","1994-05-17","0.51",,"47","49","44"
"UKM00003772","HEATHROW, UK","1994-05-18",,,"50","58","44"
"UKM00003772","HEATHROW, UK","1994-05-19",,,"49","57","40"
"UKM00003772","HEATHROW, UK","1994-05-20","0.00",,"53","60","46"
"UKM00003772","HEATHROW, UK","1994-05-21","0.71",,"54","57","50"
"UKM00003772","HEATHROW, UK","1994-05-22","0.26",,"56","62","51"
"UKM00003772","HEATHROW, UK","1994-05-23","0.00",,"55","61","51"
"UKM00003772","HEATHROW, UK","1994-05-24","0.04",,"54","56","51"
"UKM00003772","HEATHROW, UK","1994-05-25","0.02",,"53","58","49"
"UKM00003772","HEATHROW, UK","1994-05-26","0.35",,"52","55",
"UKM00003772","HEATHROW, UK","1994-05-27",,,"49","55","44"
"UKM00003772","HEATHROW, UK","1994-05-28",,,"50","54","45"
"UKM00003772","HEATHROW, UK","1994-05-29",,,"51","62","38"
"UKM00003772","HEATHROW, UK","1994-05-30","0.00",,"54","64","41"
"UKM00003772","HEATHROW, UK","1994-05-31","0.00",,"58","70","44"
"UKM00003772","HEATHROW, UK","1994-06-01","0.00",,"64","78","46"
"UKM00003772","HEATHROW, UK","1994-06-02",,,"60","66","53"
"UKM00003772","HEATHROW, UK","1994-06-03",,,"57","64","53"
"UKM00003772","HEATHROW, UK","1994-06-04","0.26",,"51","55",
"UKM00003772","HEATHROW, UK","1994-06-05",,,"53","63","42"
"UKM00003772","HEATHROW, UK","1994-06-06",,,"61","71","52"
"UKM00003772","HEATHROW, UK","1994-06-07",,,"61","70","55"
"UKM00003772","HEATHROW, UK","1994-06-08","0.08",,"56","63",
"UKM00003772","HEATHROW, UK","1994-06-09","0.00",,"53","60","42"
"UKM00003772","HEATHROW, UK","1994-06-10",,,"56","63","51"
"UKM00003772","HEATHROW, UK","1994-06-11","0.00",,"57","67","45"
"UKM00003772","HEATHROW, UK","1994-06-12",,,"60","69","46"
"UKM00003772","HEATHROW, UK","1994-06-13","0.00",,"64","74","51"
"UKM00003772","HEATHROW, UK","1994-06-14","0.00",,"65","76","54"
"UKM00003772","HEATHROW, UK","1994-06-15","0.00",,"62","74","47"
"UKM00003772","HEATHROW, UK","1994-06-16","0.00",,"65","74","54"
"UKM00003772","HEATHROW, UK","1994-06-17","0.00",,"65","78","52"
"UKM00003772","HEATHROW, UK","1994-06-18","0.00",,"63","73","54"
"UKM00003772","HEATHROW, UK","1994-06-19","0.00",,"62","71","54"
"UKM00003772","HEATHROW, UK","1994-06-20",,,"62",,"56"
"UKM00003772","HEATHROW, UK","1994-06-21","0.04",,"60","64","56"
"UKM00003772","HEATHROW, UK","1994-06-22",,,"64","72",
"UKM00003772","HEATHROW, UK","1994-06-23","0.00",,"64","75","50"
"UKM00003772","HEATHROW, UK","1994-06-24",,,"70","85","58"
"UKM00003772","HEATHROW, UK","1994-06-25","0.24",,"65","72","60"
"UKM00003772","HEATHROW, UK","1994-06-26","0.00",,"62","70","54"
"UKM00003772","HEATHROW, UK","1994-06-27","0.00",,"67","78","56"
"UKM00003772","HEATHROW, UK","1994-06-28","0.00",,"71","83","56"
"UKM00003772","HEATHROW, UK","1994-06-29",,,"65","71",
"UKM00003772","HEATHROW, UK","1994-06-30","0.00",,"64","76","50"
"UKM00003772","HEATHROW, UK","1994-07-01","0.00",,"68","80","55"
"UKM00003772","HEATHROW, UK","1994-07-02",,,"72","82",
"UKM00003772","HEATHROW, UK","1994-07-03","0.00",,"71","82","59"
"UKM00003772","HEATHROW, UK","1994-07-04","0.16",,"68","76",
"UKM00003772","HEATHROW, UK","1994-07-05",,,"62","72","54"
"UKM00003772","HEATHROW, UK","1994-07-06",,,"61","71","54"
"UKM00003772","HEATHROW, UK","1994-07-07",,,"62","72","53"
"UKM00003772","HEATHROW, UK","1994-07-08","0.08",,"61","65","57"
"UKM00003772","HEATHROW, UK","1994-07-09","0.00",,"65","77","57"
"UKM00003772","HEATHROW, UK","1994-07-10","0.00",,"67","80","54"
"UKM00003772","HEATHROW, UK","1994-07-11","0.00",,"73","87","56"
"UKM00003772","HEATHROW, UK","1994-07-12",,,"78","92","63"
"UKM00003772","HEATHROW, UK","1994-07-13",,,"68","74",
"UKM00003772","HEATHROW, UK","1994-07-14","0.00",,"69","80","60"
"UKM00003772","HEATHROW, UK","1994-07-15",,,"66","73","56"
"UKM00003772","HEATHROW, UK","1994-07-16","0.00",,"68","77","60"
"UKM00003772","HEATHROW, UK","1994-07-17","0.00",,"66","77","57"
"UKM00003772","HEATHROW, UK","1994-07-18","0.00",,"66","77","57"
"UKM00003772","HEATHROW, UK","1994-07-19","0.00",,"69","79","57"
"UKM00003772","HEATHROW, UK","1994-07-20","0.00",,"70","81","57"
"UKM00003772","HEATHROW, UK","1994-07-21","0.00",,"73","85","60"
"UKM00003772","HEATHROW, UK","1994-07-22",,,"71",,"62"
"UKM00003772","HEATHROW, UK","1994-07-23","0.00",,"71","83","60"
"UKM00003772","HEATHROW, UK","1994-07-24",,,"76","90","64"
"UKM00003772","HEATHROW, UK","1994-07-25","0.00",,"74","86","65"
"UKM00003772","HEATHROW, UK","1994-07-26",,,"67","74","63"
"UKM00003772","HEATHROW, UK","1994-07-27",,,"72","81","65"
"UKM00003772","HEATHROW, UK","1994-07-28","0.08",,"65",,
"UKM00003772","HEATHROW, UK","1994-07-29","0.00",,"67","79","56"
"UKM00003772","HEATHROW, UK","1994-07-30","0.00",,"76","89","62"
"UKM00003772","HEATHROW, UK","1994-07-31","0.02",,"71","79",
"UKM00003772","HEATHROW, UK","1994-08-01",,,"67","76","62"
"UKM00003772","HEATHROW, UK","1994-08-02",,,"65","72","57"
"UKM00003772","HEATHROW, UK","1994-08-03",,,"74","88","63"
"UKM00003772","HEATHROW, UK","1994-08-04","0.04",,"72","77",
"UKM00003772","HEATHROW, UK","1994-08-05",,,"72","81","63"
"UKM00003772","HEATHROW, UK","1994-08-06","0.00",,"70","81","62"
"UKM00003772","HEATHROW, UK","1994-08-07",,,"68","75",
"UKM00003772","HEATHROW, UK","1994-08-08","0.00",,"66","76","60"
"UKM00003772","HEATHROW, UK","1994-08-09","0.00",,"65","75","57"
"UKM00003772","HEATHROW, UK","1994-08-10","0.06",,"63","66","60"
"UKM00003772","HEATHROW, UK","1994-08-11","0.63",,"62","65","60"
"UKM00003772","HEATHROW, UK","1994-08-12",,,"62","68","58"
"UKM00003772","HEATHROW, UK","1994-08-13","0.00",,"62","71",
"UKM00003772","HEATHROW, UK","1994-08-14","0.00",,"60","69","51"
"UKM00003772","HEATHROW, UK","1994-08-15","0.00",,"62","75","48"
"UKM00003772","HEATHROW, UK","1994-08-16",,,"65","79","53"
"UKM00003772","HEATHROW, UK","1994-08-17","0.04",,"61","69","54"
"UKM00003772","HEATHROW, UK","1994-08-18",,,"62","72","50"
"UKM00003772","HEATHROW, UK","1994-08-19",,,"63",,
"UKM00003772","HEATHROW, UK","1994-08-20","0.00",,"62","71","52"
"UKM00003772","HEATHROW, UK","1994-08-21","0.00",,"65","74","55"
"UKM00003772","HEATHROW, UK","1994-08-22","0.00",,"69","80","61"
"UKM00003772","HEATHROW, UK","1994-08-23",,,"65","73",
"UKM00003772","HEATHROW, UK","1994-08-24",,,"62","73","54"
"UKM00003772","HEATHROW, UK","1994-08-25","0.20",,"60","68","55"
"UKM00003772","HEATHROW, UK","1994-08-26","0.00",,"65","76","58"
"UKM00003772","HEATHROW, UK","1994-08-27","0.02",,"64","71",
"UKM00003772","HEATHROW, UK","1994-08-28",,,"59","69","51"
"UKM00003772","HEATHROW, UK","1994-08-29",,,"60","70","49"
"UKM00003772","HEATHROW, UK","1994-08-30",,,"59","70","51"
"UKM00003772","HEATHROW, UK","1994-08-31","0.02",,"60","65","56"
"UKM00003772","HEATHROW, UK","1994-09-01","0.24",,"59",,
"UKM00003772","HEATHROW, UK","1994-09-02",,,"60","72","49"
"UKM00003772","HEATHROW, UK","1994-09-03",,,"59","67","50"
"UKM00003772","HEATHROW, UK","1994-09-04","0.08",,"64","71","60"
"UKM00003772","HEATHROW, UK","1994-09-05",,,"61","68","55"
"UKM00003772","HEATHROW, UK","1994-09-06",,,"57","64","49"
"UKM00003772","HEATHROW, UK","1994-09-07","0.40",,"58","67","51"
"UKM00003772","HEATHROW, UK","1994-09-08","0.59",,"58","66",
"UKM00003772","HEATHROW, UK","1994-09-09",,,"56","67","49"
"UKM00003772","HEATHROW, UK","1994-09-10","0.22",,"55","64","49"
"UKM00003772","HEATHROW, UK","1994-09-11",,,"57","65","48"
"UKM00003772","HEATHROW, UK","1994-09-12","0.12",,"59","66",
"UKM00003772","HEATHROW, UK","1994-09-13","0.00",,"57","67","49"
"UKM00003772","HEATHROW, UK","1994-09-14","0.33",,"58","64","54"
"UKM00003772","HEATHROW, UK","1994-09-15","0.67",,"52",,"50"
"UKM00003772","HEATHROW, UK","1994-09-16",,,"52","58",
"UKM00003772","HEATHROW, UK","1994-09-17",,,"51","59","41"
"UKM00003772","HEATHROW, UK","1994-09-18","0.00",,"53","57","49"
"UKM00003772","HEATHROW, UK","1994-09-19","0.51",,"53",,"49"
"UKM00003772","HEATHROW, UK","1994-09-20",,,"56","62",
"UKM00003772","HEATHROW, UK","1994-09-21","0.04",,"57","68","48"
"UKM00003772","HEATHROW, UK","1994-09-22",,,"58","67","53"
"UKM00003772","HEATHROW, UK","1994-09-23","0.00",,"59","66","53"
"UKM00003772","HEATHROW, UK","1994-09-24","0.00",,"60","65","56"
"UKM00003772","HEATHROW, UK","1994-09-25",,,"60","64","57"
"UKM00003772","HEATHROW, UK","1994-09-26","0.01",,"60","64",
"UKM00003772","HEATHROW, UK","1994-09-27","0.00",,"58","66","50"
"UKM00003772","HEATHROW, UK","1994-09-28","0.00",,"57","65","50"
"UKM00003772","HEATHROW, UK","1994-09-29","0.00",,"56","60","48"
"UKM00003772","HEATHROW, UK","1994-09-30","0.00",,"56","58",
"UKM00003772","HEATHROW, UK","1994-10-01",,,"56","61","52"
"UKM00003772","HEATHROW, UK","1994-10-02",,,"56","61","50"
"UKM00003772","HEATHROW, UK","1994-10-03","0.20",,"50",,
"UKM00003772","HEATHROW, UK","1994-10-04","0.00",,"43","52","35"
"UKM00003772","HEATHROW, UK","1994-10-05","0.00",,"47","59","36"
"UKM00003772","HEATHROW, UK","1994-10-06","0.00",,"50","61","39"
"UKM00003772","HEATHROW, UK","1994-10-07","0.00",,"51","62","42"
"UKM00003772","HEATHROW, UK","1994-10-08",,,"53","62","42"
"UKM00003772","HEATHROW, UK","1994-10-09","0.00",,"54","63",
"UKM00003772","HEATHROW, UK","1994-10-10",,,"53","66","41"
"UKM00003772","HEATHROW, UK","1994-10-11",,,"55","62","48"
"UKM00003772","HEATHROW, UK","1994-10-12",,,"54","62","46"
"UKM00003772","HEATHROW, UK","1994-10-13","0.00",,"55","64",
"UKM00003772","HEATHROW, UK","1994-10-14",,,"55","65","48"
"UKM00003772","HEATHROW, UK","1994-10-15",,,"53","65","46"
"UKM00003772","HEATHROW, UK","1994-10-16",,,"53","57",
"UKM00003772","HEATHROW, UK","1994-10-17","0.00",,"49","53",
"UKM00003772","HEATHROW, UK","1994-10-18","0.00",,"46","56","38"
"UKM00003772","HEATHROW, UK","1994-10-19","0.00",,"55","60","44"
"UKM00003772","HEATHROW, UK","1994-10-20","0.22",,"54","57","52"
"UKM00003772","HEATHROW, UK","1994-10-21","0.12",,"56","62","52"
"UKM00003772","HEATHROW, UK","1994-10-22","0.43",,"58","65",
"UKM00003772","HEATHROW, UK","1994-10-23",,,"53","59",
"UKM00003772","HEATHROW, UK","1994-10-24",,,"51","59","45"
"UKM00003772","HEATHROW, UK","1994-10-25","0.43",,"50","55",
"UKM00003772","HEATHROW, UK","1994-10-26","0.00",,"48","57",
"UKM00003772","HEATHROW, UK","1994-10-27",,,"47","55",
"UKM00003772","HEATHROW, UK","1994-10-28",,,"46","56","38"
"UKM00003772","HEATHROW, UK","1994-10-29","0.28",,"52","57","44"
"UKM00003772","HEATHROW, UK","1994-10-30","0.55",,"59","62","52"
"UKM00003772","HEATHROW, UK","1994-10-31","0.71",,"54",,
"UKM00003772","HEATHROW, UK","1994-11-01",,,"49","56","43"
"UKM00003772","HEATHROW, UK","1994-11-02","0.00",,"48","58","38"
"UKM00003772","HEATHROW, UK","1994-11-03",,,"59","65","51"
"UKM00003772","HEATHROW, UK","1994-11-04","0.16",,"56","59",
"UKM00003772","HEATHROW, UK","1994-11-05","0.71",,"53",,
"UKM00003772","HEATHROW, UK","1994-11-06","0.02",,"51","58",
"UKM00003772","HEATHROW, UK","1994-11-07",,,"50","57","42"
"UKM00003772","HEATHROW, UK","1994-11-08",,,"53","59","46"
"UKM00003772","HEATHROW, UK","1994-11-09","0.20",,"54",,
"UKM00003772","HEATHROW, UK","1994-11-10","0.04",,"52","56","46"
"UKM00003772","HEATHROW, UK","1994-11-11","0.00",,"53","54","50"
"UKM00003772","HEATHROW, UK","1994-11-12","0.20",,"53",,"50"
"UKM00003772","HEATHROW, UK","1994-11-13","0.00",,"54","59","44"
"UKM00003772","HEATHROW, UK","1994-11-14","0.02",,"59","62",
"UKM00003772","HEATHROW, UK","1994-11-15","0.00",,"53","57",
"UKM00003772","HEATHROW, UK","1994-11-16",,,"49","53","43"
"UKM00003772","HEATHROW, UK","1994-11-17",,,"49","55","43"
"UKM00003772","HEATHROW, UK","1994-11-18","0.12",,"53",,"48"
"UKM00003772","HEATHROW, UK","1994-11-19","0.20",,"59","62","54"
"UKM00003772","HEATHROW, UK","1994-11-20","0.00",,"57","60",
"UKM00003772","HEATHROW, UK","1994-11-21",,,"49","54",
"UKM00003772","HEATHROW, UK","1994-11-22","0.00",,"51","57","41"
"UKM00003772","HEATHROW, UK","1994-11-23","0.00",,"55","58",
"UKM00003772","HEATHROW, UK","1994-11-24","0.00",,"54","57","51"
"UKM00003772","HEATHROW, UK","1994-11-25",,,"54","56","52"
"UKM00003772","HEATHROW, UK","1994-11-26","0.00",,"53","55",
"UKM00003772","HEATHROW, UK","1994-11-27",,,"52",,"51"
"UKM00003772","HEATHROW, UK","1994-11-28","0.00",,"49",,
"UKM00003772","HEATHROW, UK","1994-11-29","0.00",,"47","49","43"
"UKM00003772","HEATHROW, UK","1994-11-30",,,"46","48",
"UKM00003772","HEATHROW, UK","1994-12-01",,,"46","49",
"UKM00003772","HEATHROW, UK","1994-12-02",,,"47",,"42"
"UKM00003772","HEATHROW, UK","1994-12-03","0.16",,"52","56","46"
"UKM00003772","HEATHROW, UK","1994-12-04","0.10",,"52","56","46"
"UKM00003772","HEATHROW, UK","1994-12-05","0.16",,"47","54","40"
"UKM00003772","HEATHROW, UK","1994-12-06","0.00",,"46","52","40"
"UKM00003772","HEATHROW, UK","1994-12-07","0.24",,"49",,
"UKM00003772","HEATHROW, UK","1994-12-08","0.75",,"49","55","43"
"UKM00003772","HEATHROW, UK","1994-12-09","0.08",,"41","49","35"
"UKM00003772","HEATHROW, UK","1994-12-10",,,"52","59","38"
"UKM00003772","HEATHROW, UK","1994-12-11","0.00",,"56","60","54"
"UKM00003772","HEATHROW, UK","1994-12-12",,,"56","59","52"
"UKM00003772","HEATHROW, UK","1994-12-13","0.00",,"52","55",
"UKM00003772","HEATHROW, UK","1994-12-14","0.04",,"40","45",
"UKM00003772","HEATHROW, UK","1994-12-15",,,"36",,"24"
"UKM00003772","HEATHROW, UK","1994-12-16","0.00",,"45","49",
"UKM00003772","HEATHROW, UK","1994-12-17","0.02",,"47","54","33"
"UKM00003772","HEATHROW, UK","1994-12-18","0.28",,"47",,
"UKM00003772","HEATHROW, UK","1994-12-19","0.00",,"40","46",
"UKM00003772","HEATHROW, UK","1994-12-20","0.00",,"37","45","32"
"UKM00003772","HEATHROW, UK","1994-12-21","0.02",,"38","42","33"
"UKM00003772","HEATHROW, UK","1994-12-22",,,"36","44","32"
"UKM00003772","HEATHROW, UK","1994-12-23",,,"29",,"26"
"UKM00003772","HEATHROW, UK","1994-12-24","0.00",,"28",,"23"
"UKM00003772","HEATHROW, UK","1994-12-25","0.02",,"43","50","29"
"UKM00003772","HEATHROW, UK","1994-12-26","0.06",,"46",,"40"
"UKM00003772","HEATHROW, UK","1994-12-27","0.16",,"54","57","47"
"UKM00003772","HEATHROW, UK","1994-12-28","0.08",,"56","58","54"
"UKM00003772","HEATHROW, UK","1994-12-29","0.39",,"51",,
"UKM00003772","HEATHROW, UK","1994-12-30",,,"44","48",
"UKM00003772","HEATHROW, UK","1994-12-31",,,"40","45",
"UKM00003772","HEATHROW, UK","1995-01-01","0.00",,"34","41",
"UKM00003772","HEATHROW, UK","1995-01-02","0.00",,"33","38",
"UKM00003772","HEATHROW, UK","1995-01-03","0.00",,"31","41","24"
"UKM00003772","HEATHROW, UK","1995-01-04","0.00",,"38","43","30"
"UKM00003772","HEATHROW, UK","1995-01-05","0.20",,"40",,"37"
"UKM00003772","HEATHROW, UK","1995-01-06","0.01",,"40","47","35"
"UKM00003772","HEATHROW, UK","1995-01-07",,,"39",,"31"
"UKM00003772","HEATHROW, UK","1995-01-08","0.12",,"46","51",
"UKM00003772","HEATHROW, UK","1995-01-09","0.00",,"43",,"33"
"UKM00003772","HEATHROW, UK","1995-01-10","0.04",,"49",,
"UKM00003772","HEATHROW, UK","1995-01-11",,,"39",,
"UKM00003772","HEATHROW, UK","1995-01-12","0.00",,"36","43","33"
"UKM00003772","HEATHROW, UK","1995-01-13",,,"40","45","32"
"UKM00003772","HEATHROW, UK","1995-01-14","0.00",,"47","52","43"
"UKM00003772","HEATHROW, UK","1995-01-15","0.00",,"49","53",
"UKM00003772","HEATHROW, UK","1995-01-16","0.00",,"47","49","46"
"UKM00003772","HEATHROW, UK","1995-01-17","0.28",,"48","50",
"UKM00003772","HEATHROW, UK","1995-01-18","0.32",,"42","46",
